,resid_mean,resid_std,resid_skew,resid_kurt,lb_z_p4,lb_z2_p4,ks_p,eta,lambda_skew
SPY,-0.05056534189618071,1.0872340982218296,-1.5133039768542897,2.7838014638318835,0.8367105168634374,0.4089751181050203,0.9854626361586227,4.674685270990573,-0.5197212624003507
AGG,-0.003917736994588278,1.1203517807176109,-0.4782603477945495,1.3866495002869277,0.8877562118811612,0.5284739868256026,0.9280325198786884,8.680563135182666,-0.19057836830283317
PE,-0.033282715834498044,1.2322645170710174,-0.36030890584080194,10.561414948993693,0.04777328102889028,0.0006916286949756811,0.9994807979354423,,
NPI,-0.051409924710067,1.1261559686924107,-1.0174049579073583,3.6113844301487177,0.4555695942495712,0.059027213965405216,0.9999833402974893,,
