,n,ann_ret,ann_vol,skew,ex_kurt,min_q,max_q,ar1
SPY,81.0,10.094185309565628,16.111334766200162,-1.1014544302693294,1.5017260604815306,-24.290768574764247,18.36948181004508,0.03826105580042383
AGG,81.0,2.992381179251624,4.580858294253378,-0.28791781412024403,0.9645160835605218,-6.024255089354648,7.122520940038876,0.05604283412901565
PE,81.0,13.933083623293596,8.42378358129195,-1.322863810255671,3.4519374528358435,-13.353139262452288,12.92723357041391,0.7728314761225128
NPI,81.0,8.03601312991491,4.605326055768616,-1.5845211565251356,2.8235662067566274,-6.1875403718087885,5.9211859631846036,0.901020277412819
