asset,baseline_3y_loss,deep_tail_3y_loss,weight,loss_contribution
SPY,0.40753946288746223,1.0553917516249425,0.4,0.422156700649977
AGG,-0.10935093930865267,-0.10378900146981636,0.2,-0.020757800293963274
PE,0.14186985031301902,0.3784079735618943,0.25,0.09460199339047358
NPI,0.07113718654143703,0.13129917951918127,0.15,0.01969487692787719
