model,n_params,ll_full,aic_full,bic_full,ll_in,ll_oos
Gaussian,6,13.055337464128545,-14.11067492825709,0.18148487978619698,9.144195987832687,0.9833325634657976
Student-t,7,24.403591479172086,-34.80718295834417,-18.132996515627003,17.343377305015128,4.20171610992078
R-Vine,6,28.8331097237412,-43.6662194474824,-26.99203300476523,22.404871110395504,0.8331031161609155
