scenario,base,multiplier,stressed_port_loss,pct_of_baseline_es,SPY_loss,AGG_loss,PE_loss,NPI_loss
GFC x 1.2 (Severe Equity Crash),GFC,1.2,0.13872241916191524,0.7407076280256961,0.37346783012040735,-0.2601691283053904,0.05489715359563499,0.18429882917281099
GFC x 1.5 (Stress),GFC,1.5,0.17340302395239407,0.9258845350321202,0.46683478765050923,-0.32521141038173806,0.06862144199454373,0.23037353646601372
GFC x 2.0 (Catastrophic),GFC,2.0,0.23120403193652544,1.2345127133761604,0.6224463835340123,-0.4336152138423174,0.09149525599272498,0.3071647152880183
